epoch,train_loss,eval_loss,eval_prec1,eval_prec5
101,2.7651682050108053,1.2244659143066405,71.166,90.04
102,2.7632292298008974,1.2219105319213868,71.262,90.016
103,2.763548753530287,1.2196904915618896,71.288,90.086
104,2.753547393780151,1.2178830433654786,71.4,90.082
105,2.7544615657495366,1.2165495288085937,71.39,90.11
106,2.7454507157480497,1.2146821210479737,71.392,90.176
107,2.7444256393553066,1.2132156224822999,71.414,90.23
108,2.7362682309558544,1.2120599893188477,71.506,90.222
109,2.7346144788842692,1.209594005279541,71.538,90.214
110,2.7356618613266734,1.2078647227478028,71.554,90.18
111,2.725618471963991,1.2081830323028564,71.588,90.12
112,2.726639910376996,1.2093279176330567,71.544,90.162
113,2.7189665058438632,1.2082218994140626,71.56,90.22
114,2.717499791289405,1.2064786459350585,71.628,90.232
115,2.716235927826495,1.2052478282928467,71.608,90.27
